number,score,loss,transmission,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScale
71,-5.966665422059968,5.966665422059968,0.42134831460674155,118.12224870596876,19420.608586184022,164.41109781550148,356,150,1,83.57178497314453,21.0127875344842,21.425312320125702,26.955345118468202,0.06284241118018423,1.0349470024857215,-0.19934007027073405,3.015023834672819
72,-5.605380379062867,5.605380379062867,0.42696629213483145,158.63528768431158,18415.315258057708,116.08586920902916,356,152,1,84.8633177280426,21.045318001161565,20.428901047406274,23.547494157167044,0.011270377861454763,0.7584569520371881,-0.08310442373902667,2.736128374906242
73,-5.93499335339352,5.93499335339352,0.3641456582633053,222.0470544971907,25550.435231636082,115.06766117430908,357,130,1,76.8593397140503,22.16906819060869,21.75011682447274,28.69711232816882,0.07434330432851076,1.0342733297714684,-0.19678147552830755,3.4984945912623036
74,-5.467789048427151,5.467789048427151,0.48169014084507045,198.05331688284326,22603.74969230021,114.12961947853297,355,171,1,85.19481325149536,21.09793598726357,22.82950632401937,22.64528045514055,0.01284652790080216,0.8564877390466321,0.1276309541870227,3.3033575131589905
75,-5.7470962629503095,5.7470962629503095,0.476056338028169,120.8964383248987,18030.345633168796,149.13876606284964,355,169,1,88.67156720161438,21.070980885352956,24.26532505249623,23.981770704095446,0.006166547584926402,0.735623701584944,0.013514787520170449,3.2284738635886416
76,-5.957517809701691,5.957517809701691,0.4519774011299435,156.09213931221126,27278.146914903875,174.75669841607376,354,160,1,84.21934819221497,23.211203956256355,23.02915850708859,24.574143612394927,0.02109804658253108,1.1035251971480569,0.0003173947609133587,2.794651468275444
77,-5.645402971868411,5.645402971868411,0.45325779036827196,151.97448635150715,19493.208151840532,128.26632035297033,353,160,1,86.31161117553711,22.12329968454629,22.501534834080132,18.835158815426123,0.01159226344373888,0.8147020203370255,0.10747548251219333,3.053492569778594
78,-5.6140310025704165,5.6140310025704165,0.5518207282913166,120.75394794174505,18274.35402815564,151.3354580917858,357,197,1,93.69826984405518,21.763263107147985,24.942178951437246,20.909883103773453,0.003182733957382628,0.9703705013839724,0.08435639437459513,3.1129840829820705
79,-5.617421342513502,5.617421342513502,0.5902578796561605,123.53549228510843,20065.437584376465,162.42649956878222,349,206,1,99.02177858352661,21.665130707509586,26.532708564648622,23.404182489035264,0.0028259257653016094,1.0231250420121618,0.09713498252155801,2.3442929734083027
80,-5.767757668239472,5.767757668239472,0.4450704225352113,156.99366338109584,22346.843411778078,142.34232726662356,355,158,1,84.80464220046997,21.111956747343257,21.798902348681136,23.512133870764167,0.05167539979906171,1.097720207669647,0.05966329446991041,2.325212591371612
81,-5.700834329899653,5.700834329899653,0.5338983050847458,145.61341665752798,23254.16909178222,159.69798405647134,354,189,1,91.65026116371155,21.3062483767625,23.935825189402497,18.006725227413423,0.030559528554406433,1.0698718473733984,0.1834443339124895,2.440412127267588
82,-6.145904370848133,6.145904370848133,0.5657142857142857,84.48264647152033,22309.8684986457,264.0763450298223,350,198,1,94.61075353622437,22.066893085122434,25.107459976689192,21.982278846493895,0.006610900444123759,1.1062361167848784,0.1417191193944413,2.2905645000862798
83,-5.813892962598001,5.813892962598001,0.4971751412429379,113.68168954030341,18929.605242154994,166.51410898888784,354,176,1,88.65485215187073,22.34434716338253,22.892001950193794,23.715379029497377,0.011876534330992315,1.0032039544185314,0.05709427188622893,2.934506554441595
84,-6.0823900921624965,6.0823900921624965,0.6151685393258427,74.64819412525006,20116.937956624537,269.48994804711424,356,219,1,100.46745491027832,22.33488921201533,28.2731765218636,18.34598081757763,0.04604735912497628,1.0091382004995664,-0.16349269804442773,2.858788361406809
85,-5.637146505186531,5.637146505186531,0.5284090909090909,120.0145244316471,17798.594556977474,148.3036710870313,352,186,1,92.54095482826233,21.3463852100413,23.774160470122958,22.691887286645265,0.0006050114103088259,1.0116038228070663,0.03125840959301611,2.683996726304862
86,-5.5317839064730165,5.5317839064730165,0.4732394366197183,178.10286888173562,21289.970980530896,119.53749602241345,355,168,1,87.04265117645264,21.337424278467523,23.01803070099465,24.186620973186503,0.027811680768728687,0.9438896216848361,0.07430166021701842,2.7060911055090857
87,-6.014793830796674,6.014793830796674,0.43874643874643876,105.72303398298831,18992.187651518052,179.64096314691506,351,154,1,84.22313666343689,21.233682357917527,21.11777353129851,26.837416653173594,0.01985102562552371,0.873465209129648,0.03410282922564621,2.6050901434622005
88,-6.411784793024583,6.411784793024583,0.5674157303370787,45.783859006066436,15820.365822875045,345.54461258450976,356,202,1,98.23973178863525,21.228884049687046,27.860424945393266,23.023122834929424,0.031395034660212075,1.1777082994632437,-0.2273570833424507,2.5489288869045086
89,-5.806313315206407,5.806313315206407,0.6,105.05013920946847,20950.660324105997,199.43486492988535,355,213,1,98.45660519599915,22.21841588351445,26.005497824999942,22.02619534076917,0.03401194875340728,1.1158366015786372,-0.1567773229402863,2.6990722074344338
